"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
0,"",255,0,0,255,"","","","","","","","","","","","","","",""
1,"",255,6,0,255,"","","","","","","","","","","","","","",""
2,"",255,12,0,255,"","","","","","","","","","","","","","",""
3,"",255,18,0,255,"","","","","","","","","","","","","","",""
4,"",255,24,0,255,"","","","","","","","","","","","","","",""
5,"",255,30,0,255,"","","","","","","","","","","","","","",""
6,"",255,36,0,255,"","","","","","","","","","","","","","",""
7,"",255,42,0,255,"","","","","","","","","","","","","","",""
8,"",255,48,0,255,"","","","","","","","","","","","","","",""
9,"",255,54,0,255,"","","","","","","","","","","","","","",""
10,"",255,60,0,255,"","","","","","","","","","","","","","",""
11,"",255,66,0,255,"","","","","","","","","","","","","","",""
12,"",255,72,0,255,"","","","","","","","","","","","","","",""
13,"",255,78,0,255,"","","","","","","","","","","","","","",""
14,"",255,84,0,255,"","","","","","","","","","","","","","",""
15,"",255,90,0,255,"","","","","","","","","","","","","","",""
16,"",255,96,0,255,"","","","","","","","","","","","","","",""
17,"",255,102,0,255,"","","","","","","","","","","","","","",""
18,"",255,108,0,255,"","","","","","","","","","","","","","",""
19,"",255,114,0,255,"","","","","","","","","","","","","","",""
20,"",255,120,0,255,"","","","","","","","","","","","","","",""
21,"",255,126,0,255,"","","","","","","","","","","","","","",""
22,"",255,132,0,255,"","","","","","","","","","","","","","",""
23,"",255,138,0,255,"","","","","","","","","","","","","","",""
24,"",255,144,0,255,"","","","","","","","","","","","","","",""
25,"",255,150,0,255,"","","","","","","","","","","","","","",""
26,"",255,156,0,255,"","","","","","","","","","","","","","",""
27,"",255,162,0,255,"","","","","","","","","","","","","","",""
28,"",255,168,0,255,"","","","","","","","","","","","","","",""
29,"",255,174,0,255,"","","","","","","","","","","","","","",""
30,"",255,180,0,255,"","","","","","","","","","","","","","",""
31,"",255,186,0,255,"","","","","","","","","","","","","","",""
32,"",255,192,0,255,"","","","","","","","","","","","","","",""
33,"",255,198,0,255,"","","","","","","","","","","","","","",""
34,"",255,204,0,255,"","","","","","","","","","","","","","",""
35,"",255,210,0,255,"","","","","","","","","","","","","","",""
36,"",255,216,0,255,"","","","","","","","","","","","","","",""
37,"",255,222,0,255,"","","","","","","","","","","","","","",""
38,"",255,228,0,255,"","","","","","","","","","","","","","",""
39,"",255,234,0,255,"","","","","","","","","","","","","","",""
40,"",255,240,0,255,"","","","","","","","","","","","","","",""
41,"",255,246,0,255,"","","","","","","","","","","","","","",""
42,"",255,252,0,255,"","","","","","","","","","","","","","",""
43,"",252,255,0,255,"","","","","","","","","","","","","","",""
